Group,Run,Metric,Step,Value
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,0,3.530766010284424
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,1,3.3665335178375244
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,2,3.3213298320770264
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,3,3.2940735816955566
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,4,3.2742793560028076
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,5,3.2600505352020264
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,6,3.251969575881958
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,7,3.2430007457733154
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,8,3.236952066421509
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,9,3.2304773330688477
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,10,3.2270727157592773
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,11,3.2233128547668457
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,12,3.2178144454956055
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,13,3.2141900062561035
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,14,3.2126283645629883
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,15,3.210810661315918
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,16,3.207397937774658
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,17,3.2043981552124023
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,18,3.2038943767547607
1B,1B_20260602_171212_LoRA_r=4_a=8,loss/train,19,3.201854705810547
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,0,26.796630859375
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,1,25.63376808166504
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,2,24.796775817871094
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,3,24.592849731445312
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,4,24.318994522094727
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,5,23.960277557373047
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,6,23.94878578186035
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,7,23.612581253051758
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,8,23.7686710357666
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,9,23.504159927368164
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,10,23.55854034423828
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,11,23.465373992919922
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,12,23.441877365112305
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,13,23.393795013427734
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,14,23.327423095703125
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,15,23.36435317993164
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,16,23.35357666015625
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,17,23.23627281188965
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,18,23.306303024291992
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/dev,19,23.38414764404297
1B,1B_20260602_171212_LoRA_r=4_a=8,ppl/test,0,20.99411964416504
1B,1B_20260525_155235_LoRA_r=4_a=16,loss/train,0,3.5104873180389404
1B,1B_20260525_155235_LoRA_r=4_a=16,loss/train,1,3.35508131980896
1B,1B_20260525_155235_LoRA_r=4_a=16,loss/train,2,3.3127176761627197
1B,1B_20260525_155235_LoRA_r=4_a=16,loss/train,3,3.289634943008423
1B,1B_20260525_155235_LoRA_r=4_a=16,loss/train,4,3.2724053859710693
1B,1B_20260525_155235_LoRA_r=4_a=16,ppl/dev,0,26.37708854675293
1B,1B_20260525_155235_LoRA_r=4_a=16,ppl/dev,1,25.37303924560547
1B,1B_20260525_155235_LoRA_r=4_a=16,ppl/dev,2,24.726816177368164
1B,1B_20260525_155235_LoRA_r=4_a=16,ppl/dev,3,24.530437469482422
1B,1B_20260525_155235_LoRA_r=4_a=16,ppl/dev,4,24.291643142700195
