Group,Run,Metric,Step,Value
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,0,0.0014000700321048498
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,5,0.6863716840744019
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,10,0.7891513705253601
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,15,0.8298842310905457
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,20,0.8583420515060425
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,25,0.8726315498352051
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,30,0.8771807551383972
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,35,0.8812968730926514
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,40,0.8816526532173157
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,45,0.8883842825889587
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,50,0.8878814578056335
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,100,0.8814737796783447
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,0,0.707726776599884
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,5,0.8264277577400208
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,10,0.8689809441566467
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,15,0.8880178928375244
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,20,0.900335967540741
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,25,0.8936170339584351
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,30,0.9081746935844421
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,35,0.9014557600021362
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,40,0.9059350490570068
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,45,0.9104143381118774
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,50,0.9104143381118774
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,100,0.9092944860458374
2A,2A_20260530_184312_More_heads+bigger_d_2,loss/train,0,4.71951150894165
2A,2A_20260530_184312_More_heads+bigger_d_2,loss/train,1,2.6147301197052
2A,2A_20260530_184312_More_heads+bigger_d_2,loss/train,2,2.1072583198547363
2A,2A_20260530_184312_More_heads+bigger_d_2,loss/train,3,1.5763838291168213
2A,2A_20260530_184312_More_heads+bigger_d_2,loss/train,4,1.236504077911377
2A,2A_20260530_184312_More_heads+bigger_d_2,loss/train,5,0.9854016304016113
2A,2A_20260530_184312_More_heads+bigger_d_2,loss/train,6,0.8072237968444824
2A,2A_20260530_184312_More_heads+bigger_d_2,loss/train,7,0.6874778866767883
2A,2A_20260530_184312_More_heads+bigger_d_2,loss/train,8,0.5844126343727112
2A,2A_20260530_184312_More_heads+bigger_d_2,loss/train,9,0.4916590750217438
