family,run_name,tag,first_step,first_value,best_step,best_value,last_step,last_value
2A,2A_20260530_184035_Bigger_d_model,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,77,0.9578313231468201
2A,2A_20260530_184035_Bigger_d_model,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9249719977378845
2A,2A_20260530_184035_Bigger_d_model,loss/train,0,5.99472188949585,77,0.03526056185364723,77,0.03526056185364723
2A,2A_20260530_184035_Bigger_d_model,slot_f1/dev,0,0.0,0,0.0,77,0.9335294365882874
2A,2A_20260530_184035_Bigger_d_model,slot_f1/test,0,0.0,0,0.0,100,0.883394718170166
2A,2A_20260530_184137_Bigger_d_model_2,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,57,0.9638554453849792
2A,2A_20260530_184137_Bigger_d_model_2,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9316909313201904
2A,2A_20260530_184137_Bigger_d_model_2,loss/train,0,4.7079596519470215,57,0.01624547317624092,57,0.01624547317624092
2A,2A_20260530_184137_Bigger_d_model_2,slot_f1/dev,0,0.004656577482819557,0,0.004656577482819557,57,0.9333333373069763
2A,2A_20260530_184137_Bigger_d_model_2,slot_f1/test,0,0.006901311222463846,0,0.006901311222463846,100,0.8838924765586853
2A,2A_20260530_184226_More_heads+Bigger_d,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,57,0.9578313231468201
2A,2A_20260530_184226_More_heads+Bigger_d,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9182530641555786
2A,2A_20260530_184226_More_heads+Bigger_d,loss/train,0,5.998144626617432,57,0.04995058476924896,57,0.04995058476924896
2A,2A_20260530_184226_More_heads+Bigger_d,slot_f1/dev,0,0.0,0,0.0,57,0.9209601879119873
2A,2A_20260530_184226_More_heads+Bigger_d,slot_f1/test,0,0.0,0,0.0,100,0.872107207775116
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,54,0.9678714871406555
2A,2A_20260530_184312_More_heads+bigger_d_2,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9092944860458374
2A,2A_20260530_184312_More_heads+bigger_d_2,loss/train,0,4.71951150894165,54,0.017030326649546623,54,0.017030326649546623
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/dev,0,0.0011757789179682732,0,0.0011757789179682732,54,0.9330605268478394
2A,2A_20260530_184312_More_heads+bigger_d_2,slot_f1/test,0,0.0014000700321048498,0,0.0014000700321048498,100,0.8814737796783447
2A,2A_20260530_184400_More_heads_2+_Bigger_d,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,74,0.9377509951591492
2A,2A_20260530_184400_More_heads_2+_Bigger_d,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9048152565956116
2A,2A_20260530_184400_More_heads_2+_Bigger_d,loss/train,0,6.0021443367004395,74,0.02315022610127926,74,0.02315022610127926
2A,2A_20260530_184400_More_heads_2+_Bigger_d,slot_f1/dev,0,0.0,0,0.0,74,0.9330986142158508
2A,2A_20260530_184400_More_heads_2+_Bigger_d,slot_f1/test,0,0.0,0,0.0,100,0.8710013628005981
2A,2A_20260530_184501_More_heads_2+_Bigger_d_2,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,38,0.9638554453849792
2A,2A_20260530_184501_More_heads_2+_Bigger_d_2,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9182530641555786
2A,2A_20260530_184501_More_heads_2+_Bigger_d_2,loss/train,0,4.725508689880371,38,0.02913709171116352,38,0.02913709171116352
2A,2A_20260530_184501_More_heads_2+_Bigger_d_2,slot_f1/dev,0,0.0,0,0.0,38,0.9237089157104492
2A,2A_20260530_184501_More_heads_2+_Bigger_d_2,slot_f1/test,0,0.0,0,0.0,100,0.8678452372550964
2A,2A_20260530_184535_More_layers+Bigger_d,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,58,0.9598393440246582
2A,2A_20260530_184535_More_layers+Bigger_d,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9272116422653198
2A,2A_20260530_184535_More_layers+Bigger_d,loss/train,0,5.80537748336792,58,0.03240874037146568,58,0.03240874037146568
2A,2A_20260530_184535_More_layers+Bigger_d,slot_f1/dev,0,0.0,0,0.0,58,0.9333724975585938
2A,2A_20260530_184535_More_layers+Bigger_d,slot_f1/test,0,0.0,0,0.0,100,0.8714211583137512
2A,2A_20260530_184626_More_layers_2+Bigger_d,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,47,0.9538152813911438
2A,2A_20260530_184626_More_layers_2+Bigger_d,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9036954045295715
2A,2A_20260530_184626_More_layers_2+Bigger_d,loss/train,0,5.589128494262695,43,0.0447612963616848,47,0.0777001678943634
2A,2A_20260530_184626_More_layers_2+Bigger_d,slot_f1/dev,0,0.0,0,0.0,47,0.9121167659759521
2A,2A_20260530_184626_More_layers_2+Bigger_d,slot_f1/test,0,0.0,0,0.0,100,0.867373526096344
2A,2A_20260530_184714_More_layers_2+Bigger_d_2,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,40,0.9658634662628174
2A,2A_20260530_184714_More_layers_2+Bigger_d_2,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9305710792541504
2A,2A_20260530_184714_More_layers_2+Bigger_d_2,loss/train,0,4.517942428588867,40,0.009804075583815575,40,0.009804075583815575
2A,2A_20260530_184714_More_layers_2+Bigger_d_2,slot_f1/dev,0,0.0,0,0.0,40,0.936984658241272
2A,2A_20260530_184714_More_layers_2+Bigger_d_2,slot_f1/test,0,0.0,0,0.0,100,0.8884210586547852
2A,2A_20260530_184804_More_layers+More_heads+Bigger_d,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,57,0.9598393440246582
2A,2A_20260530_184804_More_layers+More_heads+Bigger_d,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9025756120681763
2A,2A_20260530_184804_More_layers+More_heads+Bigger_d,loss/train,0,5.8061065673828125,57,0.035848911851644516,57,0.035848911851644516
2A,2A_20260530_184804_More_layers+More_heads+Bigger_d,slot_f1/dev,0,0.0,0,0.0,57,0.9255568385124207
2A,2A_20260530_184804_More_layers+More_heads+Bigger_d,slot_f1/test,0,0.0,0,0.0,100,0.8713043332099915
2A,2A_20260530_184854_More_layers_2+More_heads+Bigger_d,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,59,0.9598393440246582
2A,2A_20260530_184854_More_layers_2+More_heads+Bigger_d,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9104143381118774
2A,2A_20260530_184854_More_layers_2+More_heads+Bigger_d,loss/train,0,5.589014053344727,59,0.015103141777217388,59,0.015103141777217388
