family,run_name,tag,first_step,first_value,best_step,best_value,last_step,last_value
1A,1A_20260514_174737_Baseline,loss/train,0,4.501175403594971,19,3.8989384174346924,19,3.8989384174346924
1A,1A_20260514_174737_Baseline,ppl/dev,0,68.55803680419922,17,56.67796325683594,19,57.051719665527344
1A,1A_20260514_174737_Baseline,ppl/test,0,49.50535202026367,0,49.50535202026367,0,49.50535202026367
1A,1A_20260514_185306_Bigger_d_model,loss/train,0,4.500295162200928,19,3.592266321182251,19,3.592266321182251
1A,1A_20260514_185306_Bigger_d_model,ppl/dev,0,63.4110221862793,14,46.67593765258789,19,47.35084915161133
1A,1A_20260514_185306_Bigger_d_model,ppl/test,0,41.51176834106445,0,41.51176834106445,0,41.51176834106445
1A,1A_20260524_153302_more_layers_+_bigger_d_model_(decreased_lr),loss/train,0,4.499727725982666,9,3.601732015609741,9,3.601732015609741
1A,1A_20260524_153302_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,0,62.68245315551758,8,46.75096130371094,9,46.81824493408203
1A,1A_20260524_153302_more_layers_+_bigger_d_model_(decreased_lr),ppl/test,0,41.4526252746582,0,41.4526252746582,0,41.4526252746582
1A,1A_20260524_160726_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,0,4.503923416137695,9,3.5877225399017334,9,3.5877225399017334
1A,1A_20260524_160726_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,0,62.367733001708984,8,46.179378509521484,9,46.209503173828125
1A,1A_20260524_160726_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/test,0,40.7697868347168,0,40.7697868347168,0,40.7697868347168
1A,1A_20260528_131340_emb_dropout_0.2_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,0,4.615746974945068,9,3.790408134460449,9,3.790408134460449
1A,1A_20260528_131340_emb_dropout_0.2_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,0,66.50017547607422,9,48.65188217163086,9,48.65188217163086
1A,1A_20260528_131340_emb_dropout_0.2_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/test,0,43.0225830078125,0,43.0225830078125,0,43.0225830078125
1A,"1A_20260528_172835_weight_tying_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr,_higher_lr)",loss/train,0,4.927739143371582,9,3.8553104400634766,9,3.8553104400634766
1A,"1A_20260528_172835_weight_tying_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr,_higher_lr)",ppl/dev,0,79.58926391601562,8,54.445919036865234,9,54.584327697753906
1A,"1A_20260528_172835_weight_tying_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr,_higher_lr)",ppl/test,0,48.0958251953125,0,48.0958251953125,0,48.0958251953125
1A,"1A_20260601_151757_emb_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr,_slightly_higher_lr)",loss/train,0,4.530665397644043,18,3.6419761180877686,18,3.6419761180877686
1A,"1A_20260601_151757_emb_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr,_slightly_higher_lr)",ppl/dev,0,63.65264892578125,15,46.52024459838867,18,47.03474426269531
1A,"1A_20260601_151757_emb_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr,_slightly_higher_lr)",ppl/test,0,41.25370407104492,0,41.25370407104492,0,41.25370407104492
1A,1A_20260601_172526_attn_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,0,4.507394790649414,8,3.620877504348755,8,3.620877504348755
1A,1A_20260601_172526_attn_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,0,62.79844284057617,8,46.5601806640625,8,46.5601806640625
1A,1A_20260601_180535_ff_dropout_0.1_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,0,4.510917663574219,9,3.592742681503296,9,3.592742681503296
1A,1A_20260601_180535_ff_dropout_0.1_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,0,62.18783187866211,8,46.171905517578125,9,46.177703857421875
1A,1A_20260601_180535_ff_dropout_0.1_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/test,0,40.96162033081055,0,40.96162033081055,0,40.96162033081055
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),loss/train,0,4.506710052490234,9,3.6160104274749756,9,3.6160104274749756
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/dev,0,63.1917610168457,9,46.90786361694336,9,46.90786361694336
1A,1A_20260601_184136_proj_dropout_0.05_+_more_heads_+_more_layers_+_bigger_d_model_(decreased_lr),ppl/test,0,41.57026290893555,0,41.57026290893555,0,41.57026290893555
1A,1A_20260601_202527_wt_+_ff_dropout_0.1_+_more_heads_+_moreke_layers_+_bigger_d_model_(decreased_lr),loss/train,0,5.115292072296143,19,3.8037407398223877,19,3.8037407398223877
1A,1A_20260601_202527_wt_+_ff_dropout_0.1_+_more_heads_+_moreke_layers_+_bigger_d_model_(decreased_lr),ppl/dev,0,96.52230834960938,17,50.53342819213867,19,50.970096588134766
1A,1A_20260601_202527_wt_+_ff_dropout_0.1_+_more_heads_+_moreke_layers_+_bigger_d_model_(decreased_lr),ppl/test,0,44.77153396606445,0,44.77153396606445,0,44.77153396606445
1A,1A_20260601_213348_wt_+_ff_dropout_0.1_+_more_heads_+_moreke_layers_+_bigger_d_model_2_(decreased_lr),loss/train,0,5.0436811447143555,14,3.600419521331787,14,3.600419521331787
1A,1A_20260601_213348_wt_+_ff_dropout_0.1_+_more_heads_+_moreke_layers_+_bigger_d_model_2_(decreased_lr),ppl/dev,0,80.41853332519531,11,43.474334716796875,14,43.9478645324707
1A,1A_20260601_213348_wt_+_ff_dropout_0.1_+_more_heads_+_moreke_layers_+_bigger_d_model_2_(decreased_lr),ppl/test,0,38.80852508544922,0,38.80852508544922,0,38.80852508544922
