family,run_dir,run_name,display_name,config_source,config_text,config_json,primary_metric,primary_best_step,primary_best_value,test_metrics,results_json,tags
2A,runs/2A_20260522_174029_Baseline,2A_20260522_174029_Baseline,Baseline,run_name,Baseline,,slot_f1/dev,2,0.0,intent_acc/test=0.884658; slot_f1/test=0.809257,"{""primary_best_step"": 2, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.8846584558486938, ""slot_f1/test"": 0.8092566728591919}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184035_Bigger_d_model,2A_20260530_184035_Bigger_d_model,Bigger d model,run_name,Bigger d model,,slot_f1/dev,0,0.0,intent_acc/test=0.924972; slot_f1/test=0.883395,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9249719977378845, ""slot_f1/test"": 0.883394718170166}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184137_Bigger_d_model_2,2A_20260530_184137_Bigger_d_model_2,Bigger d model 2,run_name,Bigger d model 2,,slot_f1/dev,0,0.004656577482819557,intent_acc/test=0.931691; slot_f1/test=0.883892,"{""primary_best_step"": 0, ""primary_best_value"": 0.004656577482819557, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9316909313201904, ""slot_f1/test"": 0.8838924765586853}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184226_More_heads+Bigger_d,2A_20260530_184226_More_heads+Bigger_d,More heads + Bigger d,run_name,More heads + Bigger d,,slot_f1/dev,0,0.0,intent_acc/test=0.918253; slot_f1/test=0.872107,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9182530641555786, ""slot_f1/test"": 0.872107207775116}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184312_More_heads+bigger_d_2,2A_20260530_184312_More_heads+bigger_d_2,More heads + bigger d 2,run_name,More heads + bigger d 2,,slot_f1/dev,0,0.0011757789179682732,intent_acc/test=0.909294; slot_f1/test=0.881474,"{""primary_best_step"": 0, ""primary_best_value"": 0.0011757789179682732, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9092944860458374, ""slot_f1/test"": 0.8814737796783447}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184400_More_heads_2+_Bigger_d,2A_20260530_184400_More_heads_2+_Bigger_d,More heads 2 + Bigger d,run_name,More heads 2 + Bigger d,,slot_f1/dev,0,0.0,intent_acc/test=0.904815; slot_f1/test=0.871001,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9048152565956116, ""slot_f1/test"": 0.8710013628005981}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184501_More_heads_2+_Bigger_d_2,2A_20260530_184501_More_heads_2+_Bigger_d_2,More heads 2 + Bigger d 2,run_name,More heads 2 + Bigger d 2,,slot_f1/dev,0,0.0,intent_acc/test=0.918253; slot_f1/test=0.867845,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9182530641555786, ""slot_f1/test"": 0.8678452372550964}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184535_More_layers+Bigger_d,2A_20260530_184535_More_layers+Bigger_d,More layers + Bigger d,run_name,More layers + Bigger d,,slot_f1/dev,0,0.0,intent_acc/test=0.927212; slot_f1/test=0.871421,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9272116422653198, ""slot_f1/test"": 0.8714211583137512}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184626_More_layers_2+Bigger_d,2A_20260530_184626_More_layers_2+Bigger_d,More layers 2 + Bigger d,run_name,More layers 2 + Bigger d,,slot_f1/dev,0,0.0,intent_acc/test=0.903695; slot_f1/test=0.867374,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9036954045295715, ""slot_f1/test"": 0.867373526096344}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184714_More_layers_2+Bigger_d_2,2A_20260530_184714_More_layers_2+Bigger_d_2,More layers 2 + Bigger d 2,run_name,More layers 2 + Bigger d 2,,slot_f1/dev,0,0.0,intent_acc/test=0.930571; slot_f1/test=0.888421,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9305710792541504, ""slot_f1/test"": 0.8884210586547852}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184804_More_layers+More_heads+Bigger_d,2A_20260530_184804_More_layers+More_heads+Bigger_d,More layers + More heads + Bigger d,run_name,More layers + More heads + Bigger d,,slot_f1/dev,0,0.0,intent_acc/test=0.902576; slot_f1/test=0.871304,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9025756120681763, ""slot_f1/test"": 0.8713043332099915}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184854_More_layers_2+More_heads+Bigger_d,2A_20260530_184854_More_layers_2+More_heads+Bigger_d,More layers 2 + More heads + Bigger d,run_name,More layers 2 + More heads + Bigger d,,slot_f1/dev,0,0.0,intent_acc/test=0.910414; slot_f1/test=0.858283,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9104143381118774, ""slot_f1/test"": 0.858282744884491}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_184957_More_layers+More_heads_2+Bigger_d,2A_20260530_184957_More_layers+More_heads_2+Bigger_d,More layers + More heads 2 + Bigger d,run_name,More layers + More heads 2 + Bigger d,,slot_f1/dev,0,0.0,intent_acc/test=0.894737; slot_f1/test=0.851012,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.8947368264198303, ""slot_f1/test"": 0.8510118722915649}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260530_185054_More_layers_2+More_heads_2+Bigger_d_2,2A_20260530_185054_More_layers_2+More_heads_2+Bigger_d_2,More layers 2 + More heads 2 + Bigger d 2,run_name,More layers 2 + More heads 2 + Bigger d 2,,slot_f1/dev,0,0.0,intent_acc/test=0.920493; slot_f1/test=0.877045,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9204927086830139, ""slot_f1/test"": 0.8770448565483093}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
2A,runs/2A_20260602_160403_Dropout0.1_+_More_layers_2+More_heads+Bigger_d,2A_20260602_160403_Dropout0.1_+_More_layers_2+More_heads+Bigger_d,d_model=64; dropout=0.1; ff_dim=128; lr=0.001; n_epochs=100; n_heads=1; name=Dropout0.1 + More layers_2+More heads+Bigger d; num_layers=1; out_dropout=0.1; patience=5; save_best=True; test_after_epoch=5; warmup_epochs=10,run_config.json,d_model=64; dropout=0.1; ff_dim=128; lr=0.001; n_epochs=100; n_heads=1; name=Dropout0.1 + More layers_2+More heads+Bigger d; num_layers=1; out_dropout=0.1; patience=5; save_best=True; test_after_epoch=5; warmup_epochs=10,"{""d_model"": 64, ""dropout"": 0.1, ""ff_dim"": 128, ""lr"": 0.001, ""n_epochs"": 100, ""n_heads"": 1, ""name"": ""Dropout0.1 + More layers_2+More heads+Bigger d"", ""num_layers"": 1, ""out_dropout"": 0.1, ""patience"": 5, ""save_best"": true, ""test_after_epoch"": 5, ""warmup_epochs"": 10}",slot_f1/dev,0,0.0,intent_acc/test=0.923852; slot_f1/test=0.886743,"{""primary_best_step"": 0, ""primary_best_value"": 0.0, ""primary_metric"": ""slot_f1/dev"", ""test_metrics"": {""intent_acc/test"": 0.9238522052764893, ""slot_f1/test"": 0.8867427706718445}}",intent_acc/dev; intent_acc/test; loss/train; slot_f1/dev; slot_f1/test
