family,run_name,tag,first_step,first_value,best_step,best_value,last_step,last_value
2B,2B_20260507_152056_BERT-base,intent_acc/dev,0,0.9457831382751465,0,0.9457831382751465,4,0.9859437942504883
2B,2B_20260507_152056_BERT-base,intent_acc/test,0,0.9652855396270752,0,0.9652855396270752,0,0.9652855396270752
2B,2B_20260507_152056_BERT-base,loss/dev,0,0.5737260580062866,3,0.1501491367816925,4,0.1511767953634262
2B,2B_20260507_152056_BERT-base,loss/train,0,1.5626897811889648,4,0.11333993077278137,4,0.11333993077278137
2B,2B_20260507_152056_BERT-base,slot_f1/dev,0,0.8052647113800049,0,0.8052647113800049,4,0.9538642168045044
2B,2B_20260507_152056_BERT-base,slot_f1/test,0,0.9306792616844177,0,0.9306792616844177,0,0.9306792616844177
2B,2B_20260507_174032_BERT-base,intent_acc/dev,0,0.9658634662628174,0,0.9658634662628174,4,0.9899598360061646
2B,2B_20260507_174032_BERT-base,intent_acc/test,0,0.9764837622642517,0,0.9764837622642517,0,0.9764837622642517
2B,2B_20260507_174032_BERT-base,loss/dev,0,0.5372248291969299,4,0.11987223476171494,4,0.11987223476171494
2B,2B_20260507_174032_BERT-base,loss/train,0,1.5383474826812744,4,0.11791617423295975,4,0.11791617423295975
2B,2B_20260507_174032_BERT-base,slot_f1/dev,0,0.8316831588745117,0,0.8316831588745117,4,0.9511764645576477
2B,2B_20260507_174032_BERT-base,slot_f1/test,0,0.9331700205802917,0,0.9331700205802917,0,0.9331700205802917
2B,2B_20260507_174532_GPT2-small,intent_acc/dev,0,0.9317269325256348,0,0.9317269325256348,4,0.9859437942504883
2B,2B_20260507_174532_GPT2-small,intent_acc/test,0,0.9473684430122375,0,0.9473684430122375,0,0.9473684430122375
2B,2B_20260507_174532_GPT2-small,loss/dev,0,0.846778392791748,4,0.20147472620010376,4,0.20147472620010376
2B,2B_20260507_174532_GPT2-small,loss/train,0,2.541426181793213,4,0.19285258650779724,4,0.19285258650779724
2B,2B_20260507_174532_GPT2-small,slot_f1/dev,0,0.7217695116996765,0,0.7217695116996765,4,0.9281472563743591
2B,2B_20260507_174532_GPT2-small,slot_f1/test,0,0.8822081685066223,0,0.8822081685066223,0,0.8822081685066223
2B,2B_20260602_115853_GPT2,intent_acc/dev,0,0.9277108311653137,0,0.9277108311653137,4,0.9839357137680054
2B,2B_20260602_115853_GPT2,intent_acc/test,0,0.9585666060447693,0,0.9585666060447693,0,0.9585666060447693
2B,2B_20260602_115853_GPT2,loss/dev,0,0.7947531342506409,4,0.16541612148284912,4,0.16541612148284912
2B,2B_20260602_115853_GPT2,loss/train,0,2.418142080307007,4,0.19097471237182617,4,0.19097471237182617
2B,2B_20260602_115853_GPT2,slot_f1/dev,0,0.7646881341934204,0,0.7646881341934204,4,0.941836416721344
2B,2B_20260602_115853_GPT2,slot_f1/test,0,0.8949402570724487,0,0.8949402570724487,0,0.8949402570724487
